Timestamp,Humidity,Temperature,CarbonDioxide,Dust
3/3/2023 14:36:28,38.70,30.50,836.00,0.02
3/3/2023 14:51:28,40.40,30.80,1035.00,0.01
3/3/2023 15:06:28,41.40,31.10,1194.00,0.01
3/3/2023 15:21:28,41.10,31.40,1261.00,0.02
3/3/2023 15:36:28,42.10,31.50,1389.00,0.02
3/3/2023 15:51:28,41.90,31.20,1368.00,0.02
3/3/2023 16:06:28,41.10,31.40,1359.00,0.02
3/3/2023 16:21:28,41.50,31.40,1368.00,0.01
3/3/2023 16:36:28,35.40,32.00,655.00,0.01
3/3/2023 16:51:28,33.90,32.50,508.00,0.01
3/3/2023 17:06:28,33.20,32.60,452.00,0.01
3/3/2023 17:21:28,34.90,32.40,668.00,0.01
