Timestamp,Gender,Age,Please select your seated position,How much rest/sleep did you have before coming for the experiment?,Please select your combination of clothing for the experiment today
2023/03/03 2:26:36 pm GMT+5:30,Male,20,8,Just sufficient,B
2023/03/03 2:26:39 pm GMT+5:30,Male,21,7,Too little,B
2023/03/03 2:26:50 pm GMT+5:30,Male,20,13,Just sufficient,B
2023/03/03 2:26:56 pm GMT+5:30,Male,21,14,Too little,B
2023/03/03 2:27:09 pm GMT+5:30,Male,20,19,A little under,B
2023/03/03 2:27:20 pm GMT+5:30,Male,21,1,Just sufficient,B
2023/03/03 2:27:28 pm GMT+5:30,Female,21,9,Just sufficient,B
2023/03/03 2:28:03 pm GMT+5:30,Male,22,4,Too little,Tshirt + Trousers
2023/03/03 2:28:33 pm GMT+5:30,Male,21,16,Just sufficient,B
2023/03/03 2:29:37 pm GMT+5:30,Male,19,12,Just sufficient,Tshirt+jeans
2023/03/03 2:29:39 pm GMT+5:30,Male,21,15,A little over,T-Shirt & Jeans 
2023/03/03 2:29:40 pm GMT+5:30,Male,22,11,Just sufficient,Half sleeve t shirt and jeans
2023/03/03 2:29:45 pm GMT+5:30,Male,22,6,Just sufficient,Half T-shirt and trousers
2023/03/03 2:29:57 pm GMT+5:30,Male,22,18,Just sufficient,Tshirt+ trouser 
2023/03/03 2:30:00 pm GMT+5:30,Male,20,20,Just sufficient,T-SHIRT + TROUSER
2023/03/03 2:30:04 pm GMT+5:30,Male,22,5,Just sufficient,Half T-shirt & Trouser
2023/03/03 2:30:15 pm GMT+5:30,Male,20,11,Just sufficient,T-shirt + Trousers 
2023/03/03 2:30:32 pm GMT+5:30,Female,20,3,Just sufficient,B
2023/03/03 2:30:51 pm GMT+5:30,Female,20,2,Just sufficient,T-shirt and trousers
2023/03/03 2:30:51 pm GMT+5:30,Female,20,21,A little over,T-Shirt+Trousers
2023/03/03 2:31:38 pm GMT+5:30,Male,21,17,Just sufficient,T-shirt + Trousers 
2023/03/03 2:32:23 pm GMT+5:30,Male,21,23,Just sufficient,B
2023/03/03 2:32:49 pm GMT+5:30,Male,20,22,A little under,T shirt+ Trousers 
2023/03/03 2:34:47 pm GMT+5:30,Male,20,24,Just sufficient,B
