Timestamp,PMV,PPD [%],025 [Â°C],025 [%RH],262 TC2 [Â°C],359 [m/s],025 [bar],025 [ppm],025 Dew point [Â°C],025 Wet bulb temperature [Â°C],025 [g/mÂ³],262 [bar],262 [hPa],359 [Â°C],359 [bar],683 [lux]
3/3/2023 14:10,1.4,45.5,29.4,36,29.3,0.04,1.0088,620,12.8,18.7,10.58,1.0093,-0.003,30,1.0089,50.5
3/3/2023 14:25,1.5,50.9,29.8,40.5,29.7,0,1.0087,935,14.9,19.9,12.17,1.0091,0.002,30.9,1.0088,35.8
2/3/2023 14:30,,,,,,,,,,,,,,,,
3/3/2023 14:40,1.7,61.8,30.1,42.2,30,0,1.0084,1086,15.8,20.5,12.89,1.0089,0.001,31.2,1.0087,33.7
4/3/2023 14:45,,,,,,,,,,,,,,,,
3/3/2023 14:55,1.7,61.8,30.2,41.7,30,0,1.0083,1174,15.8,20.4,12.8,1.0088,0.001,31.3,1.0086,32.1
4/3/2023 15:00,,,,,,,,,,,,,,,,
3/3/2023 15:10,1.7,61.8,30.4,43.8,30.1,0,1.0081,1254,16.7,21,13.59,1.0087,0.001,31.4,1.0085,31
4/3/2023 15:15,,,,,,,,,,,,,,,,
3/3/2023 15:25,1.7,61.8,30.4,43.2,30.1,0,1.0082,1358,16.5,20.9,13.41,1.0086,0.001,31.4,1.0085,30.4
4/3/2023 15:30,,,,,,,,,,,,,,,,
3/3/2023 15:40,1.7,61.8,29.9,44.5,30,0.05,1.0081,1367,16.5,20.8,13.44,1.0086,0,30.6,1.0084,43.4
4/3/2023 15:45,,,,,,,,,,,,,,,,
3/3/2023 15:55,1.7,61.8,30.1,43.6,30.1,0.07,1.0081,1371,16.4,20.8,13.31,1.0085,0,30.8,1.0084,42.3
2/3/2023 16:00,,,,,,,,,,,,,,,,
3/3/2023 16:10,1.7,61.8,30.1,43.9,30.2,0.04,1.0081,1368,16.5,20.8,13.4,1.0086,0.003,30.8,1.0084,41
4/3/2023 16:15,,,,,,,,,,,,,,,,
3/3/2023 16:25,1.8,67,30.8,38,30.7,0,1.0082,856,14.8,20.1,12.05,1.0087,0.001,31.6,1.0086,26.1
4/3/2023 16:30,,,,,,,,,,,,,,,,
3/3/2023 16:40,1.9,72.1,31.1,36.2,30.9,0,1.0083,644,14.4,20,11.66,1.0087,0.001,32.4,1.0087,24.4
4/3/2023 16:45,,,,,,,,,,,,,,,,
3/3/2023 16:55,1.9,72.1,31.2,35.4,30.9,0,1.0082,545,14.1,19.9,11.47,1.0086,0.001,32.4,1.0086,23.9
4/3/2023 17:00,,,,,,,,,,,,,,,,
3/3/2023 17:10,1.8,67,30.9,37.9,30.6,0,1.0082,692,14.9,20.2,12.08,1.0087,-0.001,31.9,1.0087,23
4/3/2023 17:30,,,,,,,,,,,,,,,,
